,description
452,"Proud Son & Husband - Travel Blogger & Vlogger - Youtuber - Content Creator. PGDM @MICA_Ahmedabad, Ex @accenture @IBM"
453,
454,"कटु सत्य है -
सांप जब तक आस्तीनों के ना मारे जाएंगे
हौसला कितना भी हो हम जंग हार जाएंगे.."
455,forget about it😇
456,
457,
458,
459,
460,मेरी संस्कृति मेरा गर्व
461,
462,Dreamer.... Trying to achieve....!!
463,student
464,சங்கி ஆகிய நான்.....
465,digital markting
466,"#smart boy #I’m good with any one who love and like me
#ImWho #ImToday because of the choice ImadeYesterday.
#I WILL EITHER FIND A WAY OR MAKE ONE."
467,"Dear me, I'll make you proud one day."
468,"human being
Plant trees, save present, save future."
469,digital markting
470,"UK based Bihari. LSE alum, Found in London and Patna. Goofy and at times Spiritual.  🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇮🇳 🐚🐶🕉 🌈 ally .   Follow Insta : Zenny_Scotland"
471,
472,
473,
474,"pakauji के बड़ेभईया(मोटाभाई)!!
एक बेचारा ट्वीटर की कत्रिम बुद्धिमता(AI) का मारा जिसे चाहिये आपका फॉलो दोबारा!! तंज व्यंग्य कटाक्ष व फॉलो बैक आदत है मेरी!!"
475,💁‍♂
476,"खुशीया मिलती नही मागने से , मंजिल मिलती नही राह पर रुक जाने से , भरोसा रखना खुद्द पर और उस रब पर , सब कुछ देता है वो सही वक्त आने पर!"
477,
478,"State Secretary @bjp4tamilnadu
( IT & SM )



              my PM @narendramodi my Inspiration"
479,
480,Proud Sanatani Jai Shri Ram Har Har Mahadev
481,Shaping out some amazing digital experiences @Zoho
482,"| All about Hinduism, Hindu Population Safety and Religious Awareness | वसुधैव कुटुम्बकम् | ॐ जय श्री राम ॐ |"
483,"मंज़िल को क्या पता, सफर ने क्या-क्या छीना है !
                                👏जय श्री राम👏
100% follow back🤞"
484,"People Who Are Crazy Enough To Think They Can Change The World, Are The Ones Who Do ✨ 
Carpe diem... ♥ | CA | CS | BCOM (A&F)"
485,
486,baaghi
487,forget about it😇
488,
489,adra sakke.. adra sakke..
490,
491,@TheJohnAbraham sir ❤🔥❤
492,"Hindu 🙏
Saffaronist🚩

Student 
धर्मो रक्षति रक्षितः"
493,
494,Mom 😉 & Tution teacher 👩‍🏫
495,"Work as a Mechanical Superintendent in Cairn Oil and Gas, Vedanta Limited"
496,"🇮🇳🇮🇳 Rajkot city Mahilla morcha Mantri ...Samarpan trust committee member , Abgp member ,  Swadeshi jagaran Manch pramukh.🇮🇳🇮🇳"
497,"Researcher🎓(Forest protection)🌳!innovation- wildfire detection and control system🔥, Member of Indian youth congress, farmer...
views are my own.."
498,
499,"I am a happy go lucky guy.
I like to hang out with friends.
Watching movies.
Having late night long conversation.
Meeting strangers.
Meet me and know me."
500,communism And socialism 🇮🇳
501,forget about it😇
502,"तुम नाचलो मेरे हाल पर जी भरके मगर याद रखना
तुम्हारे हश्र पे ज़माना थूकेगा,"
503,
504,Twin no. 2 | Marketing professional | Love to travel & click | Thinker | Explorer | Lover | Family first | Insta https://t.co/QmwMzHYYU2
505,"Proud Hindu, Gay, Out of the Closet. Views are my own, Unapologetic. I follow back only if I feel like it. and yes... I am 51 years old..."
506,
507,What you thinking about me it's doesn't matter🤨.... I'm in ur thinking dts my Attitude...😎
508,"मुझे फक्र है, मैं भारत का नागरिक हूं।

Health, Safety, Environment & Fire with Disasters Management Specialist ।

SERVING to SAVE - INDIA"
509,"*Profile Locked* 

."
510,
511,
512,राष्ट्र प्रथम 🚩🚩
513,
514,From Bangalore
515,INDIAN | A Patriot | Engineer By Profession
516,
517,"Photon in a double slit 💥
Liebhaber der Astro & Mechanik
#navodayan"
518,Random thoughts
519,Everything is achievable through hard work
520,
521,Normal  human being..
522,"Vice President @INCDelhi, Ex Chairman Minority Department |MLA Candidate| Advocate |RT’s are not endorsement|#जयहिन्द"
523,RAPDO@REPEATO
524,
525,
526,
527,"Social & Student Activist, Proud Indian🇮🇳☝️
Spokesperson @JKSWFofficial,NCC Alumni🇮🇳,Indian Army Kid❣️⚔️.
Worked on De_ Redicalization of Youths in J&K🍁"
528,
529,content aficionado and confidential marker viewer
530,"Professor, Scientist, Ex-president of Overseas Friends of BJP"
531,Designer in DINAMALAR (No.1 Tamil Newspaper)
532,"India First 🙏🙏 Nabhaya, Paurushee, Cricket, Love, Care, Technology, Relations. Tweets are personal and do not reflect anyone else. Co-founder @BriBooks_global"
533,
534,"Minister of State for Power and Heavy Industries, Government of India.

Member of Parliament- Faridabad."
535,"#मंजर

मिले कोई कश्ती ऐसी जो दरिया पार करा दे,
मिले कोई यार ऐसा जो दिल करार करा दे..

बेचैन बहुत हूँ मैं यहाँ खुद अपने ही वजूद से,
मिले कोई प्यार ऐसा जो खुद से"
536,Traveller 🌍
537,
538,
539,
540,niftylearner7
541,"a PROUD INDIAN, a PROUD HINDU, a PROUD TAMILIAN"
542,
543,
544,twits are strictly personal
545,
546,NO Repentance NO Grief NO Regret
547,Partition was a catastrophe that Ma Bharati will never recover from unless we get together to restore our motherland. Imagine #AkhandBharat in all its glory.
548,"Mech Engg🔧
🏏"
549,
550,
551,
552,
553,
554,Indian
555,
556,Mother/traveller/Nature lover/foodie/😍
557,"from Germany, yet happy and grateful to be in India for last 40 years...
Title of my book: Thank you India."
558,
559,
560,India is my religion and saving lives is my job
561,स्वधर्मे निधनं श्रेयः
562,Don't think too hard!..be positive..n juz chill!!🤘
563,"Just in the process of making myself a better human being everyday.
Sometimes love exploring diff places & clothing.
Prefer Dance over everything....Everything!"
564,Indian(of course a proud one). Medicine Wholesaler. RT IS NOT ENDORSEMENT.
565,
566,☮️
567,Advocating efforts towards imparting a progressive change centred on Transparency & Accountability in Governance.
568,"Aspiring Film Maker, Follower of Pawan Kalyan, Jai Hind"
569,संवैधानिक अछूत
570,
571,burning gloriously!
572,Sometimes the best revenge is just a simple smile 😊 ❤
573,
574,
575,
576,"Salesforce Professional, Dancing BareFoot
#Traveller #Foodie #LoveComedy #ComicsLover"
577,
578,"Join the campaign ‼️𝓘𝓽'𝓼 𝓐𝓵𝓵 𝓐𝓫𝓸𝓾𝓽 𝓥𝓪𝓵𝓾𝓮𝓼 𝓑𝓪𝓼𝓮𝓭 𝓟𝓸𝓵𝓲𝓽𝓲𝓬𝓼 ‼️

ਨਿਰਭਉ  ਨਿਰਵੈਰ।  निरभउ निरवैर।  Nirbhau and Nirvair।"
579,I am what I am.
580,
581,☮️
582,
583,seeker
584,
585,"भारतीय, हिंदू, Engineer"
586,
587,"नमस्ते सदा वत्सले मातृभूमि
           जय श्री राम🚩"
588,☮️
589,"हिंदू तन मन ,हिंदू जीवन 
रग रग हिंदू मेरा मन"
590,"🌈स्वदेशी||स्वस्थ||स्वावलंबी||स्वाभिमानी~भारत
♥️वसुधैव कुटुम्बकम्"
591,
592,"Media consultant
https://t.co/jy8bnzdXn3
https://t.co/FCBFgXovNL"
593,Optimistic*Nature lover*Thoughtful reader*World's humanity n peace lover*Follower of all communities which preach love n peace.
594,"Ex President BJP Mahila Morcha Rajasthan 
(पं.दीनदयाल उपाध्याय जी(ताऊजी) की भतीजी हूँ।उन के सिद्धान्तों को जन जन तक पहुचना एक मात्र लक्ष्य। भारत माता की जय)🇮🇳"
595,
596,
597,interested in Formula 1 and cricket
598,Entrepreneur⚙️GOIVolRetd PortEnggProfessional⚙️Alumnus-GCT IIMA ⚙️ வாழ்க தமிழ் 🌺 வாழிய பாரத மணித்திரு நாடு🌸#BJP_2024_2026
599,
600,Santana Dharma Is The True Secularism
601,Altruistic
602,"तुम नाचलो मेरे हाल पर जी भरके मगर याद रखना
तुम्हारे हश्र पे ज़माना थूकेगा,"
603,
604,Ward No -20 BJP Social Media incharge.
605,"Hip Hop 💯
Proud Indian 🇮🇳
Interested in politics, culture, cricket and comedy.
KP 🇮🇳"
606,"Currently naukri...soon to come in female purohit avatar!!
Detachment is the Mantra and
RT doesn't mean I'm saying it!"
607,"""Try not to become a person of success, but rather try to become a person of value.""
Respect all Religion
Believe in Secularism
@WithINCIndia
@WithFarmers"
608,Jai shri ram
609,Advocate l Entrepreneur l Agriculturist l Politician l AIADMK IT Wing District Secretary Namakkal
610,हे भगवन करता हु आपसे गुजारिश की…. तेरी भक्ति के सिवा कोई बंदगी न मिले … हर जन्म #हिन्दु जैसे पावन धर्म मे… या फिर जिंदगी ना मिले..#जय_श्री_राम...⛳
611,This too will pass so keep walking... (all tweets are my personal views). Retweets do not imply endorsement.
612,
613,Vice Principal @ipsindirapuram | #CBSE Trainer | Regional Mentor @NitiAayog | #MIEExpert | Academic Coordinator & Head of Examinations @iprmgrp | #SDGs Advocate
614,Ward No -20 BJP Social Media incharge.
615,"#ReadSelective from the WORLD & Beyond, curated for you. #Daily #Latest from the #World #Universe."
616,"Please ignore my tweets, I have no idea what I am doing."
617,"Waheguru Ji 🙏🏼
Har Har Mahadev 🙏🏼
🚩🇮🇳🚩"
618,"Mobile-first digital platform - objective, contextual, factual, informative, catering to all sets of audiences."
619,Straight from ❤️
620,
621,
622,"Never stop believing in hope,because miracles happen every day...🙌😇"
623,"Non Political, Hindu Nationalist."
624,प्रयागराज विश्वविद्यालय || हिन्दू
625,राष्ट्रवादी
626,"பிறப்பொக்கும் எல்லா உயிர்க்கும்🇮🇳 Proud to be an Indian🇮🇳 Social, Political,Economic Analyist👆Nationalist🇮🇳"
627,
628,Good
629,
630,
631,"Asst. Professor, Dept. of Computer Science, PES University, Bangalore, India"
632,
633,B.E.Mechanical
634,"I'm just the protagonist  in this world!
🇮🇳"
635,
636,"Welcome to the official handle of critically acclaimed writer, director & producers Vinay Sapru & Radhika Rao. https://t.co/rjts5ARcO2 https://t.co/a7R9Auc2xI"
637,Cabinet Minister of Social Justice & Empowerment - Govt. of Gujarat | MLA : 56 Asarwa Constituency
638,#Maidaan #Tanhaji  #Singham3 awaiting 😀😀😀 AD Fan
639,Preparing for NEET UG 2022
640,
641,"Member Of Parliament (Rajya Sabha- Gujarat), Ex. Dy. C.M.- Gujarat, Ex. President - @gcamotera"
642,"Tweets are personal Rts are not. Proud to be a Hindu ,Nationalist  #रण_में_भगवाधारी"
643,Sanatana
644,🚩 Proud Hindu 🕉️🕉️🕉️ 🚩 || RSS supporter || Nation first || 💯 % follow back to nationalist ||
645,🌹 One Thing I Am Sure Of 'HE' Will Never Stop Loving Me❤️🌹🙏🏻
646,"facts don't care about your feelings.
I love Mars after Earth. when I disagree with U that doesn't mean I hate U.
RT's like≠endorsement."
647,
648,Nothing
649,
650,"professor by profession
🇮🇳राष्ट्रहित सर्वोपरि🇮🇳, 🚩🚩जय श्री राम 🚩🚩"
651,"Information Technology, MNC Executive, Consultant. Foodie (love street food), Music, Culture, People, Sports, Networking 🇮🇳"
652,"FCA. AOL Volunteer.Guruji Sri Sri Ravishankar ji.A seeker of truth.Satya and Moksha.
RTs & Favorites not endorsement."
653,The thing that makes me special is I act as me!
654,Student
655,"શિવ જ સત્ય છે, professionally CA, CS"
656,"Proud Hindu.Proud Indian.
Vice president BJP
coimbatore north district"
657,"National intrest,
Photographer,
Traveller 
Explorer
Learner
,  , .🤳"
658,YouTube channel market s vlogs
659,Fan of @rajinikanth @narendramodi @annamalai_k
660,
661,
662,Om Namo Narayana 🪷 ( let's bow to the divine)
663,"জল জঙ্গল দিচ্ছে ডাক
মানবসভ্যতা নিপাত যাক

My YouTube channel - https://t.co/8sNRBx6njP"
664,"Optimist, cricketer, works for a better INDIA :) #ManchesterUnited.... meedhi Biopic la solren !! Thiruppi Kudukanu iLLa type :P"
665,YouTube channel market s vlogs
666,"जय हिन्द।।
भारत माता की जय!
हिन्दू है हम वतन है हिंदुस्तान हमारा।।"
667,@pawankalyan😍😍😍 @Janasenaparty ✊✊
668,
669,
670,
671,Hand spun hand woven Swadeshi
672,"।गौ सेवा ही मेरा परम धर्म।
में किसी धर्म के विरुद्ध नहीं हूं, मैं उसके विरुद्ध हूँ जो मेरे हिंदुत्व के विरुद्ध हैं....🚩🇮🇳🚩"
673,"Legal Services.
The Telangana is my Identity,
The Hindutva is my Culture &
The Sanatandharm is my Religion.
Policy:-'IndiaFirst'
Birth:28thFeb(MahaSivarathri)."
674,"Engg. Student, Automobile Enthusiast, Patriot"
675,
676,
677,5X Certified Salesforce Consultant and Developer. Helping business to implement Salesforce CRM .
678,"Anchor I 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻 𝗖𝗼𝗮𝗰𝗵 I Actor I Writer 
Sign Up at https://t.co/7LxjekCWlU - Communication Unwrapped - Online Course"
679,"Cinephile, Travel Freak 😇"
680,"हिंदू , विधर्मियों से न सामना खरीदेंगे"
681,
682,
683,
684,
685,Just a common man.
686,भारत मेरी शान और भारतीयता ही मेरी पहचान।।
687,Har har Mahadev. Shraddha aur Sabhuri. Football. Foodie. Hindu reawakening. Dream of Santana civilization - mother to all. Keep calm and trust NaMo the enabler
688,free online marketing Affiliate course and ebook Free Three Year's experience email signature account editor best logo designer #MDBlock 🌴🌵🌿🌾🌴
689,"Proud Indian |
Mechanical Engineer |
#Sachinist |"
690,!!No man ever step in the same river twice!!....'Shall break but will not bend'.!! Snake's friend or rescuer...BJP4INDIA🇮🇳🚩
691,YouTube channel market s vlogs
692,"Railway Pravasi Group Western Maharashtra - Sangli Miraj Satara Pandharpur Kurduvadi
रेल यात्री ग्रूप पश्चिम महाराष्ट्र सांगली सातारा कराड पंढरपूर कुर्डूवाडी"
693,"#MensRights l
RT's are not endorsement | 
#MarriageStrike |"
694,
695,"Cricket, Politics, Old Songs & Shayri Lover! News Junkie! Devotee of Lara, Warne! RTs Not Endorsement! From Dhoni's Land! Ranchi & Madhubani!"
696,
697,.....
698,"FCMA - CIMA - UK & ACCA - UK , PHD, MBA , MCA"
699,
700,राम भक्त 🚩
701,
702,
703,क्रोधाद् भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः। स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति।| Scientific Astrologer  - Truly Human - Help Other God Help You
704,"Always think different, passion of traveling"
705,
706,Centrist-Libertarian-Atheist| Software| Hobbyist Chef| Tentatively supports BasicIncome | APJKalam Modi MGR Rajini | Follow at your own risk. Non-serious Gyaan.
707,
708,"#PROUD_INDIAN | #NATIONALIST |  #Jay_Shree_Ram /
®_follow back १००%
contact:- 9904748401"
709,Engineer
710,
711,Indian
712,"LLB,
Follower of  Prime Minister of India, Narendra Modi."
713,
714,YouTube channel market s vlogs
715,"Men's Rights, Gender Biased Laws #SpeakUpMen | YouTube https://t.co/yqXtb3O8VP | contact@voiceformenindia.com | Donate: https://t.co/d9UunUSEWh"
716,YouTube channel market s vlogs
717,"गलत को गलत और सही को सही बोलना।
अच्छे नेता को प्रमोट करना है चाहे वो किसी पार्टी का हो।अच्छे नेताओं के हाथ में ही देश का भविष्य सुरक्षित है। निरीह किसान की आवाज"
718,
719,
720,deshbhakt
721,
722,
723,
724,Proud to be with BJP since its inception. No compromise on Hindutva. Tremendous faith on our PM Shri. Modi ji. BHARAT MATA KI JAI.
725,Free Guy
726,Following the dream🙂🙂 INDIAN 🇮🇳 (🚩🚩)
727,क्रोधाद् भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः। स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति।| Scientific Astrologer  - Truly Human - Help Other God Help You
728,"Political Editor, The New Indian Express, bansykalappa@gmail.com"
729,सत्य सनातन है सनातन सत्य है !!!
730,
731,
732,
733,"Don't blame people for disappointing you, blame yourself for expecting too much from them..."
734,"Proud 🇮🇳 , महादेव भक्त."
735,
736,YouTube channel market s vlogs
737,क्रोधाद् भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः। स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति।| Scientific Astrologer  - Truly Human - Help Other God Help You
738,"Former CMD, NALCO
Former President, Ekal Abhiyan
Joint Gen. Secretary, VHP"
739,A learner trying to be in sync with  https://t.co/lOpAp3K0Hd.
740,"Graphic designer 
Digital artist🎨
Blood group :- b+ve
இந்தியன் ❤"
741,Indian First ..
742,
743,"Proudly Hindu 🚩🚩

politics , 😁😁"
744,
745,
746,Views personal ||
747,
748,"Enthusiast, Indian, Travel, Tech, Music lover..living in Modi ji's era..
Tribute to our national heroes 🙏🙏🙏"
749,
750,an ultra nationalist. firm believer of sanatan dharm. detest secularists n abhor pseudo secularists.
751,Official page of BJP Jammu District
752,
753,I'm nice guy until you piss me off
754,Nothing...
755,Bharatiya. Dushta Sikshaಣ Sishta Rakshaಣ
756,
757,
758,"A proud Indian.  Dharmic sense & Karmic belief, sets u free.   RTs are not endorsements."
759,MahaKaal is coming........
760,Jolly
761,"Software Professional, IT,
Visit https://t.co/MhYTXVP6yL"
762,neva give up..........
763,"Proud to be a Indian🇮🇳,Engineer🎓, Entrepreneur🕴️, Fan of @Annamalai_K Sir #BJP ian😎"
764,Humanity first. Islamophobia is a myth. Solar energy expert.
765,
766,
767,"भारतीय🇮🇳
#HindusUnite || #HinduEcosystem || धर्मो रक्षति रक्षितः 🚩🕉️ || RSS ||
Koo : @Shivansh1620"
768,"I support what I LIKE | I support what i Believe is RIGHT.   KPOP  💃
SHINee ¦ Sadhguru ¦ INDIA 🇮🇳"
769,Entrepreneur by profesion ..police and defense rights activist by passion...Political critics and experts to heart & mind satisfaction ...Staunch nationalist
770,
771,"मैं भारतीय हूं न कि इंडियन /
I'm BHARTIY not INDIAN
(हिंदू धर्म और राष्ट्र भारत के 'कट्टर रक्षकों' जल्द संपर्क में आओ संगठित हो जाओ)। BHARAT IS BHARAT NOT INDIA"
772,
773,
774,
775,
776,Just life & life onlyyyyy!!!
777,"Media Personality, Social Activist , Kannadiga ,Rt's Like's Not Endorsement :Proud to be Indian Muslim , From Allah For Allah To 
Allah"
778,"Project Director, Regional Science Centre (RSC) Bhavnagar, GUJCOST, Dept. of Science & Technology, Govt. of Gujarat"
779,Brutally straight forward & honest. Still idealistic. Tweets are opinions not reality.
780,"A Proud Indian, an Engineer, an IIT Delhi alumni, a Travel Freak, Drivaholic, Peace Loving & a Roger Federer Fan forever."
781,
782,
783,
784,
785,"Follower of Jyotiba fule, Periyar &  B R Ambedkar #जयसंविधान #नमोबुद्धाय #जयभीम #जयजोहार"
786,
787,#ahgase #igot7 #got7 #ot7 #exol #exo #ot9 #ot12
788,"हिंदु , मराठा 🚩"
789,Bringing hyperlocal news and information from Mumbai. For you.
790,All humans to be treated same irrespective of caste/religon/sex/colour/race . Spread love across globe. Keen abt Spirtualism
791,
792,"Journo, The New Indian Express. Cover Rlys, Metro, Aviation, BDA, Water, RERA, Postal & UIDAI. Work on investigative stories.Gunner. M🐱shi's slave"
793,"Nationalist🇮🇳, RW, IT Professional 💻, आलाच आहात तर Follow करुन जा 😊"
794,"A computer Science Engineer, realistic person. A vegetarian by choice."
795,
796,"90's kid, Still Single 😢😢,Chennai Paiyan 💛CSK💛Dhoni💛 Rajini❤Ilayaraja 💙❤Thamizhan💙Indian 🇮🇳Proud Hindu❤ஓம் நமசிவாய 🙏🙏🙏"
797,
798,🤭
799,
800,
801,"some people are privileged by birth sorry,I am not one of them , I am privileged by the book called ‘constitution’ . let’s come together to bring the change 😀"
802,क्रोधाद् भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः। स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति।| Scientific Astrologer  - Truly Human - Help Other God Help You
803,"हिन्दू तन-मन, हिन्दू जीवन, रग-रग हिन्दू मेरा परिचय ࿗ 🕉️🚩🚩"
804,#ahgase #igot7 #got7 #ot7 #exol #exo #ot9 #ot12
805,Civil engineer
806,"Secretary BJP Delhi|| BJP MLA Candidate from Jangpura 2020|| Ex National Secretary @BJYM ||Ex VP, Ex GenSec BJYM Delhi|| Followed by PM @narendramodi Ji🇮🇳"
807,Bengali Hindu Nationalist
808,🏴‍☠️
809,Trying to be a Perfect Human
810,😅🤣😂😜
811,With great power comes great responsibility
812,
813,"🇮🇳
Jai Hind"
814,
815,"Being a Human Being first is the Motto..... Live Life & have fun with just a pinch of Logic & Sense..... 
Nation First....."
816,"India at heart, Patriot, Gamer, Anime lover, movie, tv series buff"
817,"Nationalist to the core....
Tweets are personal, Retweet is not necessarily endorsement."
818,
819,"love to read article.
serve our country to my extent"
820,
821,tweet reader
822,एकच ध्येय : हिंदु राष्ट्र
823,🇮🇳| Computer Science Graduate| Programmer|
824,
825,
826,"Politically Right, BJP supporter, Movie Buff & ManU fan for life......."
827,
828,
829,"Ardent and proud Desh Bhakt 🇮🇳. A true blue bong at heart, an avid reader and a banker by profession."
830,
831,Social worker and BJP supporter
832,Jai Hind
833,Watcher.
834,G/Secy.BJYM East Siang District A.P.
835,"Soldier First, Loving Husband and a Proud Father. Happy to be with my Family, Dog and the Wheels!!
Tank-man for Life. #foreverBLACK."
836,"I am TYBA student, Youtuber, Indian Football Team and Chennaiyin FC  Fan and EX NSS Volunteer, Sports Journalist from '@The_Tacticians'."
837,Content Writer||ETL Developer||Politics||Cinema||Sarcasm||Humor||
838,
839,
840,"🇮🇳 Malayali |
Automobile Enthusiast 🏎 |
Peace ☮️|"
841,Sanatan Dharm 🚩🚩🚩
842,
843,
844,"A Proud Bharatiya ! ReTweets, Favs and Quotes don't mean endorsement ;)"
845,#University of Allahabad
846,
847,"🇮🇳 WANNA BECOME INNOVATOR AS WELL AS SERVANT TO MY COUNTRY, FAN OF young Tiger NTR jr, Thalapathi Vijay and Amir khan"
848,
849,
850,Student
851,HINDU (Sanatani) ॐ नमः शिवाय।।🚩🚩RTs are not endorsements.
852,
853,🚩🚩🙏 JAI SHREE RAM 🙏🚩🚩
854,
855,
856,"యధ్బావం తధ్భవతి

@KChiruTweets fan😎, Learner, Software Engineer, Writer, Indian 🇮🇳
Jai Hind."
857,We write articles on latest & undiscovered stories.
858,#ahgase #igot7 #got7 #ot7 #exol #exo #ot9 #ot12
859,
860,"Ex Secular, Thinker, Reader, Analysts, Believer.
💯FB"
861,
862,From Shimla
863,High voltage sign Activism for a better world • Traveler • Politically Centrist • Be the change you want to see
864,"II Think II
Data is the most valuable asset on Earth"
865,Just being alive is special.
866,nothing
867,
868,"Indian, Proud 🕉️HINDU
Yogiji Modiji bhakt"
869,"मां काली का आशीर्वाद 🚩🛕 जय मां काली🙏🏻
Hate politics can't tolerate nonsense, love animals, foodie"
870,
871,
872,An unreasonable man. Vegetarian. A World citizen. Looking for a World leader to be a World changer. O2O model specialist.
873,
874,"Ideas are more powerful than Guns. They wouldn’t let you have guns, why would they allow you to have Ideas?  RTs ≠ Endorsements."
875,
876,"Proud to Be an Indian, In awe of NaMo.
Believe in Modi ji and Yogi ji.🙏 Fully Adore General Rawat sir."
877,"Engineer with 25+ yrs exp with world’s leading companies in Tractors, Construction Equipment & Consulting in Marketing, Operations & Organization Development."
878,what is success
879,what is success
880,Editor In Chief / CEO @mediyaannews | Lyricist | Writer | Mamamgam - Chaveru |
881,
882,
883,"I Am Proud To Say I Was Hindustani.I am Proud To Say I Was Hindu Nationalist Party BJP Member 🌷,
Indian and தமிழன்,my community Yadav. 🚩🚩I am always காவி🚩🚩"
884,
885,"Proud Rohitian😎
Future CM of Rajasthan 😎"
886,I help business men and entrepreneurs to make more money and save time.
887,
888,
889,"【 𝕋𝕠𝕟𝕜 ℝ𝕖𝕤𝕚𝕕𝕖𝕟𝕥.           】 
【 𝕆𝕞𝕟𝕚𝕧𝕠𝕣𝕖𝕤                   】 
【 🄴🅇🅃🅁🄾🅅🄴🅁🅃                】"
890,
891,
892,
893,only moon
894,
895,Phasmatos Incedia Movet 🔥
896,
897,"बेजुबानों से प्यार, हमारी प्रकृति जिसे हमें बचानी है"
898,Entrepreneur
899,what is success
900,ordinary human but Unique.
901,
902,
903,"🇮🇳 WANNA BECOME INNOVATOR AS WELL AS SERVANT TO MY COUNTRY, FAN OF young Tiger NTR jr, Thalapathi Vijay and Amir khan"
904,
905,
906,
907,unlucky boy Shiven
908,
909,"#Mechanical Engineer
कोल्हापूरकर😍😎,"
910,"I'm proud to be an #INDIAN 
#JAI_HIND 🚩💯% fb"
911,"राष्ट्र प्रेमी,"
912,"Go To Hell

Government Of Rajasthan"
913,"🇮🇳 WANNA BECOME INNOVATOR AS WELL AS SERVANT TO MY COUNTRY, FAN OF young Tiger NTR jr, Thalapathi Vijay and Amir khan"
914,
915,Cr7 always
916,🇮🇳
917,Companion .Raising two naughty Levi's .
918,"Bhartiya🇮🇳
सत्य परमो धर्म: |"
919,Banker by profession...Modi-fication quite possible.. Right of centre ideology..Tweets are personal views..RT simply does not mean endorsement
920,
921,Follow Kijiye Follow Back 100% Milega
922,
923,"🇮🇳 WANNA BECOME INNOVATOR AS WELL AS SERVANT TO MY COUNTRY, FAN OF young Tiger NTR jr, Thalapathi Vijay and Amir khan"
924,Jai Shree Ram🙏 | Jai Sanatan Dharma✊
925,Sanatani
926,
927,Puns || Jokes || Memes
928,"Social & Student Activist, Proud Indian🇮🇳☝️
Spokesperson @JKSWFofficial,NCC Alumni🇮🇳,Indian Army Kid❣️⚔️.
Worked on De_ Redicalization of Youths in J&K🍁"
929,"।।हिन्दु तन मन हिन्दु जीवन रग रग हिन्दु मेरा परिचय।।
Old account suspended..
Double trouble for left wingers..
  100% follow back
Koo: @tum_and_hum"
930,
931,Updating myself everday to become an intelligent fertilizer for plants someday
932,
933,REAL✨...
934,sachha sanatani 🚩🚩🚩🚩🚩🚩🚩
935,I am Human
936,"Politics, journalism,  python developer,"
937,வேலை இல்லா திண்டாட்டத்துக்கு காரணம் படித்த பிறகு என்ன செய்வது என்று யோசிப்பதால்
938,"Former Project Associate,RVNL
An Indian Railways Subsidiary"
939,𝕭𝖊 𝖆 𝖌𝖆𝖒𝖊 𝖈𝖍𝖆𝖓𝖌𝖊𝖗 𝖎𝖓 𝖙𝖍𝖎𝖘 𝖜𝖔𝖗𝖑𝖉 𝖋𝖚𝖑𝖑 𝖔𝖋 𝖈𝖔𝖕𝖞 𝖈𝖆𝖙𝖘.
940,"Want to do something good for India.
RT ≠ Endorsement"
941,
942,"A proud Indian 
RTs are not endorsement"
943,
944,I Win Or Lose Does Not Matter But I Learn That is for Sure
945,🙏अहिंसा परमो धर्मः | धर्म हिंसा तथैव च:🚩
946,
947,"Bsc.#Graduate 👨‍🎓 
#medico 🏥
#Medical student 💉 #Radiographer
#X-Ray Technician 🥼 #Radiology
 stay #fit Stay #healthy✌️"
948,
949,
950,kuch ni
951,
952,"【 𝕋𝕠𝕟𝕜 ℝ𝕖𝕤𝕚𝕕𝕖𝕟𝕥.           】 
【 𝕆𝕞𝕟𝕚𝕧𝕠𝕣𝕖𝕤                   】 
【 🄴🅇🅃🅁🄾🅅🄴🅁🅃                】"
953,
954,
955,
956,"Certified and experienced auditor, investigator. Investor/Trader. Sports and Music Lover. KTR/Modi ji fan. Nationalist"
957,"Bharatwasi | Interested in Politics, Science & Tech | Travelling | Yoga"
958,"An ordinary citizen of india, traveller , bike ride to 3 nations, walked 500+ Kms in himalayas, cycling, interested in current affairs"
959,Mahadev bhakt
960,
961,
962,Air force
963,"I'm working in WIPRO!!! Kohli,cricketer,cinema luvr,music luvr , fun with friendz , a huge fan of THALA (Ajith) .தமிழன்"
964,
965,"Indian Politics is improper mix of Maths & Science, Here u need 2 get Arithmetic solutions for Chemical equations & Zoological solutions for Biological issues"
966,"We create an environment for participants to challenge, question, learn and grow through engaging interactive courses."
967,"Former IFS, Joint Sec Gov India. Former Minister of Dev NE Region, Minister of Panchayati Raj. Author of Confession of a Secular Fundamentalist."
